CACode,VaCode,Estimate,ASE,Flag
C04A,V03D,15.7,1,
C04A,V03E,11.6,0.9,
C04A,V03M,7.7,0,
C04A,V04A,5,0.5,
C04A,V04B,20.1,0.9,
C04A,V04C,48.5,1.3,
C04A,V04D,26.3,1.2,
C04A,V05A,18.8,1.2,
C04A,V05B,40.3,1.3,
C04A,V05C,27.3,1.2,
C04A,V05D,13.7,1,
C04A,V06A,2,0.4,
C04A,V06B,3.7,0.5,
C04A,V06C,12.7,0.9,
C04A,V06D,41.3,1.2,
C04A,V06E,40.3,1.3,
C04A,V06M,7.8,0,
C04A,V07A,62,1.3,
C04A,V07B,12.4,0.8,
C04A,V07C,12.8,0.8,
C04A,V07D,10.1,0.8,
C04A,V07E,2.6,0.4,
C04A,V07M,2.4,0.1,
C04A,V08A,16.3,0.9,
C04A,V09A,57.4,1.2,
C04A,V09B,24.4,1.1,
C04A,V09C,15.3,0.9,
C04A,V09D,2.9,0.4,
C04A,V10A,7.3,0.7,
C04A,V10B,25.8,1,
C04A,V10C,55.9,1.3,
C04A,V10D,10.9,0.9,
C04A,V10M,6.8,0,
C04A,V11A,9.3,0.8,
C04A,V11B,20.8,1,
C04A,V11C,47,1.3,
C04A,V11D,22.8,1.1,
C04A,V11M,7.1,0.1,
C04A,V12A,19.1,1.1,
C04A,V12B,33.6,1.2,
C04A,V12C,37.3,1.2,
C04A,V12D,10,0.8,
C04A,V12M,6,0.1,
C04A,V13A,4.8,0.5,
C04A,V13B,10.3,0.8,
C04A,V13C,40.4,1.5,
C04A,V13D,44.5,1.5,
C04A,V13M,8,0,
C04A,V14A,43.3,1.5,
C04A,V14B,36.6,1.3,
C04A,V14C,17.9,1,
C04A,V14D,2.1,0.4,
C04A,V14M,4.5,0.1,
C04A,V15A,75.3,1,
C04A,V15B,21.2,1,
C04A,V15C,3.4,0.4,
C04A,V16A,80.8,1,
C04A,V16B,14.6,0.8,
C04A,V16C,4.6,0.6,
C04A,V17A,1.8,0.3,
C04A,V17B,8.9,0.8,
C04A,V17C,22,1.2,
C04A,V17D,36.8,1.4,
C04A,V17E,30.4,1.3,
C04A,V18A,96.5,0.5,
C04A,V18B,3.5,0.5,
C04B,V00T,13.7,,B
C04B,V01A,17.9,2.2,
C04B,V01B,17.4,2.2,
C04B,V01C,31,2.7,
C04B,V01D,14.6,2.2,
C04B,V01E,19.1,2.4,
C04B,V01M,7.8,0.1,
C04B,V02A,12.6,2,
C04B,V02B,15.1,2.4,
C04B,V02C,29.8,3,
C04B,V02D,16.1,2.3,
C04B,V02E,26.4,3,
C04B,V02M,8.1,0.1,
C04B,V03A,20.9,2.4,
C04B,V03B,21.8,2.7,
C04B,V03C,30.9,2.9,
C04B,V03D,13,2.1,
C04B,V03E,13.4,2.2,
C04B,V03M,7.6,0.1,
C04B,V04A,11.9,1.9,
C04B,V04B,27.3,2.4,
C04B,V04C,42.3,3.1,
C04B,V04D,18.5,2.4,
C04B,V05A,14.4,2.4,
C04B,V05B,36.2,3.1,
C04B,V05C,31.2,3.3,
C04B,V05D,18.2,2.2,
C04B,V06A,2.5,1,*
C04B,V06B,3.7,1,
C04B,V06C,14.6,2.3,
C04B,V06D,39.9,3.1,
C04B,V06E,39.4,3.1,
C04B,V06M,7.8,0.1,
C04B,V07A,58.5,2.8,
C04B,V07B,11.8,1.9,
C04B,V07C,15.3,2,
C04B,V07D,11.3,2,
C04B,V07E,3.1,1,*
C04B,V07M,2.7,0.2,
C04B,V08A,27.6,2.7,
C04B,V09A,54.3,3.2,
C04B,V09B,24.7,2.9,
C04B,V09C,16.8,2.3,
C04B,V09D,4.3,1.2,
C04B,V10A,13.6,1.8,
C04B,V10B,35.5,2.8,
C04B,V10C,42.8,3,
C04B,V10D,8.1,2,
C04B,V10M,6.2,0.1,
C04B,V11A,12.9,1.9,
C04B,V11B,25.2,2.7,
C04B,V11C,42.1,3.3,
C04B,V11D,19.8,2.5,
C04B,V11M,6.8,0.1,
C04B,V12A,19.2,2.1,
C04B,V12B,36.1,2.8,
C04B,V12C,33.7,2.6,
C04B,V12D,11,1.6,
C04B,V12M,6,0.1,
C04B,V13A,10.2,1.8,
C04B,V13B,19.9,2.5,
C04B,V13C,39,2.8,
C04B,V13D,30.9,2.5,
C04B,V13M,7.2,0.1,
C04B,V14A,48.7,3.1,
C04B,V14B,35.5,2.7,
C04B,V14C,14.4,2.1,
C04B,V14D,1.4,0.6,*
C04B,V14M,4.2,0.1,
C04B,V15A,63.2,2.8,
C04B,V15B,28.5,2.6,
C04B,V15C,8.3,1.6,
C04B,V16A,69.5,2.8,
C04B,V16B,20,2.5,
C04B,V16C,10.5,1.7,
C04B,V17A,3.8,0.9,
C04B,V17B,15.6,2.3,
C04B,V17C,27.2,2.7,
C04B,V17D,32.4,2.9,
C04B,V17E,21.1,2.7,
C04B,V18A,85.8,2,
C04B,V18B,14.2,2,
C04C,V00T,6.1,0.5,
C04C,V01A,17.5,3.4,
C04C,V01B,15.5,3.1,
C04C,V01C,32.6,4.7,
C04C,V01D,15,3.6,
C04C,V01E,19.4,3.5,
C04C,V01M,7.9,0.1,
C04C,V02A,13.3,3.3,
C04C,V02B,10.8,2.3,
C04C,V02C,32.3,4.4,
C04C,V02D,18.8,3.5,
C04C,V02E,24.8,3.9,
C04C,V02M,8.2,0.1,
C04C,V03A,15.6,3.4,
C04C,V03B,20.9,4.1,
C04C,V03C,25.7,4.4,
C04C,V03D,12.3,3.2,
C04C,V03E,25.5,4.2,
C04C,V03M,8,0.2,
C04C,V04A,22.8,4.1,
C04C,V04B,40.3,4.4,
C04C,V04C,26.8,3.9,
C04C,V04D,10.1,2.7,
C04C,V05A,14.3,3.3,
C04C,V05B,33.8,4.2,
C04C,V05C,34.7,4.4,
C04C,V05D,17.1,3.2,
C04C,V06A,2.3,1.9,**
C04C,V06B,4,1.8,*
C04C,V06C,17.7,3.8,
C04C,V06D,34.3,4.3,
C04C,V06E,41.7,4.9,
C04C,V06M,7.8,0.2,
C04C,V07A,53.9,5.1,
C04C,V07B,13.2,3.1,
C04C,V07C,19.5,3.6,
C04C,V07D,10.4,2.7,
C04C,V07E,2.9,1.5,*
C04C,V07M,2.8,0.3,
C04C,V08A,23.7,3.8,
C04C,V09A,56.7,4.3,
C04C,V09B,21,3.7,
C04C,V09C,18.4,3.5,
C04C,V09D,4,1.7,*
C04C,V10A,9.9,2.6,
C04C,V10B,38,4.4,
C04C,V10C,44,5.1,
C04C,V10D,8.1,2.1,
C04C,V10M,6.4,0.2,
C04C,V11A,4.7,1.8,*
C04C,V11B,16.4,3.1,
C04C,V11C,44.6,4.7,
C04C,V11D,34.3,4.2,
C04C,V11M,7.7,0.2,
C04C,V12A,12.5,3.3,
C04C,V12B,34,4.6,
C04C,V12C,35.6,4.4,
C04C,V12D,17.9,3.4,
C04C,V12M,6.5,0.2,
C04C,V13A,6.2,2.8,*
C04C,V13B,18.2,3.2,
C04C,V13C,43.9,4.4,
C04C,V13D,31.7,4.2,
C04C,V13M,7.5,0.2,
C04C,V14A,42.3,3.9,
C04C,V14B,40.9,4.2,
C04C,V14C,13.6,3.4,
C04C,V14D,3.1,1.4,*
C04C,V14M,4.6,0.2,
C04C,V15A,53.5,5,
C04C,V15B,33.5,4.3,
C04C,V15C,13,3.7,
C04C,V16A,54.9,5.1,
C04C,V16B,28.9,4.8,
C04C,V16C,16.3,3.4,
C04C,V17A,4.6,1.7,*
C04C,V17B,22.6,3.5,
C04C,V17C,32.1,4,
C04C,V17D,27.7,3.8,
C04C,V17E,13,3.2,
C04C,V18A,80.3,3.8,
C04C,V18B,19.7,3.8,
C04D,V00T,15.3,1,
C04D,V01A,18.2,2.3,
C04D,V01B,17.6,2.3,
C04D,V01C,34.1,3,
C04D,V01D,14.2,2.1,
C04D,V01E,15.8,2.3,
C04D,V01M,7.7,0.1,
C04D,V02A,13.6,2.3,
C04D,V02B,18.4,2.5,
C04D,V02C,33.2,2.9,
C04D,V02D,15.3,2.1,
C04D,V02E,19.6,2.5,
C04D,V02M,7.9,0.1,
C04D,V03A,13,1.9,
C04D,V03B,18.3,2.4,
C04D,V03C,31.3,2.8,
C04D,V03D,16.9,2.5,
C04D,V03E,20.5,2.6,
C04D,V03M,8,0.1,
C04D,V04A,8.5,1.8,
C04D,V04B,35.2,3.5,
C04D,V04C,45.5,3.3,
C04D,V04D,10.7,1.8,
C04D,V05A,20.1,2.3,
C04D,V05B,39,2.9,
C04D,V05C,33.2,2.5,
C04D,V05D,7.8,1.6,
C04D,V06A,1.4,0.9,**
C04D,V06B,2.6,0.9,*
C04D,V06C,13.7,1.7,
C04D,V06D,41.7,2.8,
C04D,V06E,40.6,2.7,
C04D,V06M,7.9,0.1,
C04D,V07A,55,2.9,
C04D,V07B,12.9,1.6,
C04D,V07C,17.4,2.4,
C04D,V07D,11,1.7,
C04D,V07E,3.8,1.4,*
C04D,V07M,2.9,0.2,
C04D,V08A,23,2.6,
C04D,V09A,51.6,3,
C04D,V09B,23.6,2.8,
C04D,V09C,20.1,2.5,
C04D,V09D,4.6,1.2,
C04D,V10A,3.2,1.1,*
C04D,V10B,20.6,2.5,
C04D,V10C,51.8,3.2,
C04D,V10D,24.4,2.3,
C04D,V10M,7.4,0.1,
C04D,V11A,3.8,0.9,
C04D,V11B,14.4,1.8,
C04D,V11C,42.8,3.2,
C04D,V11D,39,3.2,
C04D,V11M,7.9,0.1,
C04D,V12A,8.5,1.6,
C04D,V12B,23.3,2.8,
C04D,V12C,40.6,2.9,
C04D,V12D,27.6,2.5,
C04D,V12M,7.2,0.1,
C04D,V13A,3.5,1,
C04D,V13B,12.5,1.7,
C04D,V13C,39.6,2.4,
C04D,V13D,44.3,2.7,
C04D,V13M,8.1,0.1,
C04D,V14A,16.5,2.9,
C04D,V14B,33.6,2.9,
C04D,V14C,36.6,3.1,
C04D,V14D,13.4,2,
C04D,V14M,6.3,0.1,
C04D,V15A,73.1,3,
C04D,V15B,23.7,2.6,
C04D,V15C,3.2,1.1,*
C04D,V16A,75.6,2.6,
C04D,V16B,19.5,2.2,
C04D,V16C,4.9,1.2,
C04D,V17A,1.3,0.6,*
C04D,V17B,12.8,1.9,
C04D,V17C,29.3,2.4,
C04D,V17D,36.8,2.9,
C04D,V17E,19.7,2.4,
C04D,V18A,97.1,1,
C04D,V18B,2.9,1,*
C05A,V00T,3.7,,B
C05A,V01A,17.7,4,
C05A,V01B,10.2,3.4,*
C05A,V01C,32.9,5.9,
C05A,V01D,20.7,4.8,
C05A,V01E,18.6,4.7,
C05A,V01M,7.9,0.2,
C05A,V02A,11.2,3.6,*
C05A,V02B,12.4,3.2,
C05A,V02C,30.9,4.4,
C05A,V02D,18.5,3.7,
C05A,V02E,27,4.4,
C05A,V02M,8.3,0.2,
C05A,V03A,21.7,5.4,
C05A,V03B,18.2,4.8,
C05A,V03C,31.9,4.9,
C05A,V03D,14.8,2.7,
C05A,V03E,13.3,4.4,*
C05A,V03M,7.6,0.2,
C05A,V04A,6,2.6,*
C05A,V04B,29.4,5.5,
C05A,V04C,46.5,5.6,
C05A,V04D,18.1,4.5,
C05A,V05A,17.6,4.3,
C05A,V05B,36.4,4.6,
C05A,V05C,31.1,5,
C05A,V05D,15,3.5,
C05A,V06A,3.5,2,**
C05A,V06B,2.8,1.8,**
C05A,V06C,13.2,3.3,
C05A,V06D,35.4,5.4,
C05A,V06E,45.1,4.1,
C05A,V06M,7.9,0.3,
C05A,V07A,58.5,6.3,
C05A,V07B,12.2,4.3,*
C05A,V07C,11.3,3.3,
C05A,V07D,13.5,3.9,
C05A,V07E,4.5,2.1,*
C05A,V07M,2.7,0.4,
C05A,V08A,20.8,4.1,
C05A,V09A,60.6,5.1,
C05A,V09B,22.1,4.9,
C05A,V09C,14.3,3.3,
C05A,V09D,3,1.9,**
C05A,V10A,9.5,3.8,*
C05A,V10B,30.3,5.4,
C05A,V10C,48.4,6.1,
C05A,V10D,11.8,3.8,*
C05A,V10M,6.5,0.3,
C05A,V11A,14.6,4.1,
C05A,V11B,25,4.3,
C05A,V11C,41.3,5.9,
C05A,V11D,19.1,4,
C05A,V11M,6.7,0.2,
C05A,V12A,23.6,4.8,
C05A,V12B,33.2,6,
C05A,V12C,33.6,6.1,
C05A,V12D,9.7,3.2,*
C05A,V12M,5.7,0.3,
C05A,V13A,7.8,3.3,*
C05A,V13B,13.9,3.3,
C05A,V13C,38.3,5.6,
C05A,V13D,39.9,5.3,
C05A,V13M,7.6,0.2,
C05A,V14A,47.8,5.2,
C05A,V14B,35.4,4.4,
C05A,V14C,13.5,3.7,
C05A,V14D,3.3,2.7,**
C05A,V14M,4.2,0.3,
C05A,V15A,70.1,6.1,
C05A,V15B,24.1,5.5,
C05A,V15C,5.7,2.2,*
C05A,V16A,75.9,4.9,
C05A,V16B,17.1,3.7,
C05A,V16C,7,2.5,*
C05A,V17A,4,1.8,*
C05A,V17B,10.2,3.5,*
C05A,V17C,23.9,4.8,
C05A,V17D,34.3,5.8,
C05A,V17E,27.5,5.4,
C05A,V18A,91.2,4.1,
C05A,V18B,8.8,4.1,*
C05B,V00T,33.6,,B
C05B,V01A,17,1.3,
C05B,V01B,18.5,1.5,
C05B,V01C,34,2,
C05B,V01D,15.5,1.5,
C05B,V01E,15.1,1.5,
C05B,V01M,7.8,0.1,
C05B,V02A,13.5,1.5,
C05B,V02B,17.1,1.6,
C05B,V02C,31.3,1.7,
C05B,V02D,16.9,1.7,
C05B,V02E,21.1,1.5,
C05B,V02M,8,0.1,
C05B,V03A,16.1,1.5,
C05B,V03B,21.8,1.6,
C05B,V03C,30.7,1.8,
C05B,V03D,15.7,1.6,
C05B,V03E,15.8,1.7,
C05B,V03M,7.8,0.1,
C05B,V04A,10,1.2,
C05B,V04B,28.2,1.9,
C05B,V04C,43.3,2.1,
C05B,V04D,18.6,1.7,
C05B,V05A,18.7,1.6,
C05B,V05B,40.6,1.9,
C05B,V05C,29.1,1.8,
C05B,V05D,11.5,1.2,
C05B,V06A,1.9,0.6,*
C05B,V06B,3.3,0.7,
C05B,V06C,14.8,1.3,
C05B,V06D,42.6,1.9,
C05B,V06E,37.4,2.3,
C05B,V06M,7.8,0.1,
C05B,V07A,56.9,1.9,
C05B,V07B,13.1,1.2,
C05B,V07C,16.8,1.4,
C05B,V07D,10.3,1.2,
C05B,V07E,2.8,0.7,
C05B,V07M,2.7,0.1,
C05B,V08A,17.8,1.5,
C05B,V09A,57.4,2.1,
C05B,V09B,22.8,1.8,
C05B,V09C,16,1.7,
C05B,V09D,3.8,0.7,
C05B,V10A,5.2,0.9,
C05B,V10B,26.2,1.7,
C05B,V10C,54.3,2,
C05B,V10D,14.3,1.6,
C05B,V10M,7,0.1,
C05B,V11A,4.8,0.8,
C05B,V11B,16.9,1.7,
C05B,V11C,46.7,2.3,
C05B,V11D,31.6,1.8,
C05B,V11M,7.6,0.1,
C05B,V12A,14.5,1.4,
C05B,V12B,31.7,2.2,
C05B,V12C,37.6,2.2,
C05B,V12D,16.2,1.5,
C05B,V12M,6.5,0.1,
C05B,V13A,4.1,0.8,
C05B,V13B,12,1.3,
C05B,V13C,42.9,2.1,
C05B,V13D,41,2.2,
C05B,V13M,7.9,0.1,
C05B,V14A,34.2,2.2,
C05B,V14B,37.3,2.1,
C05B,V14C,23.5,1.8,
C05B,V14D,5,0.9,
C05B,V14M,5.1,0.1,
C05B,V15A,71.4,2.4,
C05B,V15B,23.9,2.2,
C05B,V15C,4.7,0.9,
C05B,V16A,74.6,1.9,
C05B,V16B,19.6,1.8,
C05B,V16C,5.9,0.9,
C05B,V17A,1.8,0.5,
C05B,V17B,11.8,1.2,
C05B,V17C,25.9,1.9,
C05B,V17D,35,2,
C05B,V17E,25.5,2,
C05B,V18A,94.5,0.9,
C05B,V18B,5.5,0.9,
C05C,V00T,9.6,,B
C05C,V01A,14,2,
C05C,V01B,18.8,2.9,
C05C,V01C,33.1,3.1,
C05C,V01D,15.1,2.6,
C05C,V01E,19,2.8,
C05C,V01M,7.9,0.1,
C05C,V02A,9.8,1.6,
C05C,V02B,16.3,2.9,
C05C,V02C,32.1,2.8,
C05C,V02D,18,2.5,
C05C,V02E,23.9,2.2,
C05C,V02M,8.2,0.1,
C05C,V03A,16.7,2.4,
C05C,V03B,20,3,
C05C,V03C,32.4,3.2,
C05C,V03D,16.3,2.6,
C05C,V03E,14.7,2.9,
C05C,V03M,7.8,0.1,
C05C,V04A,6.2,1.4,
C05C,V04B,23.4,2.7,
C05C,V04C,46.6,3.2,
C05C,V04D,23.8,3.2,
C05C,V05A,18.1,2.4,
C05C,V05B,34.7,3.2,
C05C,V05C,31.3,3.2,
C05C,V05D,15.8,2.1,
C05C,V06A,2.9,1,*
C05C,V06B,4.2,1.2,
C05C,V06C,10.2,1.7,
C05C,V06D,38.6,3.1,
C05C,V06E,44,3.4,
C05C,V06M,7.9,0.1,
C05C,V07A,63.1,3.4,
C05C,V07B,12,2.1,
C05C,V07C,12.4,2.1,
C05C,V07D,9.2,1.8,
C05C,V07E,3.3,1.1,*
C05C,V07M,2.4,0.2,
C05C,V08A,21,2.5,
C05C,V09A,56.2,4.1,
C05C,V09B,22.2,3.6,
C05C,V09C,18.4,3.1,
C05C,V09D,3.2,0.9,
C05C,V10A,9.5,2.1,
C05C,V10B,30.6,3.2,
C05C,V10C,50.1,3.2,
C05C,V10D,9.7,1.9,
C05C,V10M,6.6,0.1,
C05C,V11A,9.1,1.7,
C05C,V11B,22.5,3.2,
C05C,V11C,44,3.3,
C05C,V11D,24.4,2.9,
C05C,V11M,7.1,0.2,
C05C,V12A,21.2,2.9,
C05C,V12B,31.6,3.4,
C05C,V12C,36,3.7,
C05C,V12D,11.2,1.8,
C05C,V12M,6,0.2,
C05C,V13A,5.6,1.5,
C05C,V13B,11.8,2.6,
C05C,V13C,40.7,3.3,
C05C,V13D,41.9,3.3,
C05C,V13M,7.9,0.1,
C05C,V14A,45.7,3.8,
C05C,V14B,35.8,3.1,
C05C,V14C,15,2.2,
C05C,V14D,3.6,1.3,*
C05C,V14M,4.4,0.2,
C05C,V15A,73.3,3.7,
C05C,V15B,23,3.3,
C05C,V15C,3.7,1.2,*
C05C,V16A,82.1,2.9,
C05C,V16B,11.7,2,
C05C,V16C,6.2,1.7,
C05C,V17A,1.7,0.7,*
C05C,V17B,11.3,2.3,
C05C,V17C,26.4,3.1,
C05C,V17D,34.8,2.9,
C05C,V17E,25.9,3.4,
C05C,V18A,94.7,1.5,
C05C,V18B,5.3,1.5,
C05D,V00T,6.5,,B
C05D,V01A,15.2,2.9,
C05D,V01B,14,3,
C05D,V01C,32.3,4.2,
C05D,V01D,17.6,3.4,
C05D,V01E,20.9,3.5,
C05D,V01M,8,0.1,
C05D,V02A,8.8,1.7,
C05D,V02B,12.4,2.5,
C05D,V02C,34.4,4.4,
C05D,V02D,18.2,3.3,
C05D,V02E,26.2,3.9,
C05D,V02M,8.3,0.1,
C05D,V03A,18.6,4.1,
C05D,V03B,18.4,3.1,
C05D,V03C,35.4,4.2,
C05D,V03D,16.6,3.7,
C05D,V03E,11,2.7,
C05D,V03M,7.7,0.1,
C05D,V04A,6.2,1.9,*
C05D,V04B,19.9,3.8,
C05D,V04C,48,4.5,
C05D,V04D,25.9,4.5,
C05D,V05A,19.1,4,
C05D,V05B,38.7,3.2,
C05D,V05C,29.7,4.2,
C05D,V05D,12.5,2.8,
C05D,V06A,2.1,1.6,**
C05D,V06B,3.4,1.4,*
C05D,V06C,10.1,2.5,
C05D,V06D,37.5,4.2,
C05D,V06E,46.9,5.2,
C05D,V06M,8.1,0.2,
C05D,V07A,66.6,5,
C05D,V07B,9.4,2.9,*
C05D,V07C,12.2,3.1,
C05D,V07D,9.2,2.3,
C05D,V07E,2.6,1.3,**
C05D,V07M,2.2,0.3,
C05D,V08A,18.9,3.5,
C05D,V09A,57.6,4.7,
C05D,V09B,25.3,4.7,
C05D,V09C,14.1,3.2,
C05D,V09D,3.1,1.3,*
C05D,V10A,8.2,2.1,
C05D,V10B,32.5,3.7,
C05D,V10C,50.5,4.4,
C05D,V10D,8.9,2.7,*
C05D,V10M,6.6,0.2,
C05D,V11A,9.1,2.1,
C05D,V11B,22.5,3.4,
C05D,V11C,44.7,3.9,
C05D,V11D,23.8,3.8,
C05D,V11M,7.1,0.2,
C05D,V12A,20.3,3.5,
C05D,V12B,34.4,4.8,
C05D,V12C,36.2,4.8,
C05D,V12D,9.1,2.4,
C05D,V12M,5.9,0.2,
C05D,V13A,6.1,2.4,*
C05D,V13B,12.3,3.1,
C05D,V13C,37,4.8,
C05D,V13D,44.7,4.8,
C05D,V13M,7.8,0.2,
C05D,V14A,47,4.5,
C05D,V14B,34.9,5.1,
C05D,V14C,14.9,3.4,
C05D,V14D,3.1,1.4,*
C05D,V14M,4.3,0.2,
C05D,V15A,77,3.8,
C05D,V15B,18.8,3.3,
C05D,V15C,4.2,1.7,*
C05D,V16A,84.1,3.1,
C05D,V16B,10.1,2.7,
C05D,V16C,5.8,2,*
C05D,V17A,2,1,*
C05D,V17B,10.7,2.7,
C05D,V17C,20.3,2.7,
C05D,V17D,37.1,4.3,
C05D,V17E,29.9,3.6,
C05D,V18A,93.9,1.8,
C05D,V18B,6.1,1.8,
C05E,V00T,4.4,,B
C05E,V01A,14.4,3.1,
C05E,V01B,15.3,3.9,
C05E,V01C,31.2,3.9,
C05E,V01D,16.7,4.1,
C05E,V01E,22.4,4.3,
C05E,V01M,8,0.2,
C05E,V02A,8.2,2.7,*
C05E,V02B,15.3,2.7,
C05E,V02C,29,4.8,
C05E,V02D,17.8,3.1,
C05E,V02E,29.8,4.6,
C05E,V02M,8.4,0.2,
C05E,V03A,16.3,3.2,
C05E,V03B,19.3,3.7,
C05E,V03C,30,3.8,
C05E,V03D,18.7,4.1,
C05E,V03E,15.9,4,
C05E,V03M,7.9,0.2,
C05E,V04A,6.4,2.1,*
C05E,V04B,24.5,3.4,
C05E,V04C,48.9,4.1,
C05E,V04D,20.1,3.7,
C05E,V05A,20.5,5.1,
C05E,V05B,33.4,4,
C05E,V05C,29.6,4.3,
C05E,V05D,16.4,3.2,
C05E,V06A,2,1.2,**
C05E,V06B,3,1.7,**
C05E,V06C,10.8,2.5,
C05E,V06D,37.1,4.9,
C05E,V06E,47.1,4.6,
C05E,V06M,8.1,0.2,
C05E,V07A,62.9,4.8,
C05E,V07B,12.3,3.5,
C05E,V07C,10.5,2.8,
C05E,V07D,9.9,3.4,*
C05E,V07E,4.3,2,*
C05E,V07M,2.4,0.3,
C05E,V08A,19.2,3.7,
C05E,V09A,56.1,5.1,
C05E,V09B,23.8,4,
C05E,V09C,15.9,2.7,
C05E,V09D,4.1,1.5,*
C05E,V10A,10.2,2.3,
C05E,V10B,27.7,3.4,
C05E,V10C,50.8,4.2,
C05E,V10D,11.4,3.6,*
C05E,V10M,6.6,0.2,
C05E,V11A,12.4,3.2,
C05E,V11B,20.4,3.8,
C05E,V11C,45.4,3.8,
C05E,V11D,21.8,3.6,
C05E,V11M,7,0.2,
C05E,V12A,22.7,4.7,
C05E,V12B,31.9,4.3,
C05E,V12C,32.7,4.8,
C05E,V12D,12.7,3.4,
C05E,V12M,6,0.3,
C05E,V13A,6.1,2,*
C05E,V13B,11.8,3,
C05E,V13C,35.2,4.3,
C05E,V13D,46.9,5.2,
C05E,V13M,7.9,0.2,
C05E,V14A,43.9,4.7,
C05E,V14B,33.2,4.4,
C05E,V14C,19.8,3.4,
C05E,V14D,3.1,1.7,**
C05E,V14M,4.6,0.2,
C05E,V15A,72.6,4.5,
C05E,V15B,21.2,4.1,
C05E,V15C,6.2,2.3,*
C05E,V16A,79.9,3.9,
C05E,V16B,15,3.8,
C05E,V16C,5.1,1.5,*
C05E,V17A,3.1,1.4,*
C05E,V17B,12.8,3.5,
C05E,V17C,21.6,3.4,
C05E,V17D,35.7,4.3,
C05E,V17E,26.8,4,
C05E,V18A,92.7,2.6,
C05E,V18B,7.3,2.6,*
C05F,V00T,2.4,,B
C05F,V01A,17.2,4.4,
C05F,V01B,13.4,4,
C05F,V01C,34.5,6.7,
C05F,V01D,16.3,5.4,*
C05F,V01E,18.6,4.3,
C05F,V01M,7.9,0.1,
C05F,V02A,10.9,4.1,*
C05F,V02B,14.8,4.5,*
C05F,V02C,30.9,6.6,
C05F,V02D,19.1,5,
C05F,V02E,24.3,5.9,
C05F,V02M,8.2,0.2,
C05F,V03A,15.5,4.1,
C05F,V03B,15.5,4.1,
C05F,V03C,36.6,4.7,
C05F,V03D,15.1,5.5,*
C05F,V03E,17.2,4.9,
C05F,V03M,7.9,0.2,
C05F,V04A,7.3,3.3,*
C05F,V04B,18.4,4.7,
C05F,V04C,47.6,6.7,
C05F,V04D,26.7,6.4,
C05F,V05A,13.6,4,
C05F,V05B,39.7,6,
C05F,V05C,31.9,5.8,
C05F,V05D,14.8,3.5,
C05F,V06A,3,2,**
C05F,V06B,3.3,1.8,**
C05F,V06C,12.6,3.8,
C05F,V06D,39.8,6.6,
C05F,V06E,41.3,5.1,
C05F,V06M,7.9,0.3,
C05F,V07A,66,5.3,
C05F,V07B,10.9,3.8,*
C05F,V07C,11,4,*
C05F,V07D,7.2,2.4,*
C05F,V07E,4.8,2.6,**
C05F,V07M,2.2,0.3,
C05F,V08A,21.6,4.7,
C05F,V09A,58.9,6.5,
C05F,V09B,21.9,5.4,
C05F,V09C,14.9,4.3,
C05F,V09D,4.3,2,*
C05F,V10A,7.7,3.2,*
C05F,V10B,27.4,4.8,
C05F,V10C,53.2,6.1,
C05F,V10D,11.7,4.3,*
C05F,V10M,6.8,0.2,
C05F,V11A,15,4.1,
C05F,V11B,19.7,4.3,
C05F,V11C,45.9,6.3,
C05F,V11D,19.4,4.9,
C05F,V11M,6.7,0.3,
C05F,V12A,24.8,4.9,
C05F,V12B,28.3,6.2,
C05F,V12C,33.2,6.3,
C05F,V12D,13.7,5.4,*
C05F,V12M,5.8,0.4,
C05F,V13A,8.2,4.4,**
C05F,V13B,10.3,4.3,*
C05F,V13C,38.7,5.3,
C05F,V13D,42.8,7.5,
C05F,V13M,7.8,0.3,
C05F,V14A,46.9,6.4,
C05F,V14B,32.1,6.6,
C05F,V14C,16.6,5.6,*
C05F,V14D,4.5,3,**
C05F,V14M,4.5,0.4,
C05F,V15A,74.5,7.7,
C05F,V15B,20.2,6,
C05F,V15C,5.3,2.8,**
C05F,V16A,82.4,5.2,
C05F,V16B,12.7,3.8,
C05F,V16C,4.9,3.2,**
C05F,V17A,2.3,1.3,**
C05F,V17B,9.2,3.4,*
C05F,V17C,24.3,5.4,
C05F,V17D,34.5,5.9,
C05F,V17E,29.6,6.4,
C05F,V18A,94.8,2.2,
C05F,V18B,5.2,2.2,*
C05G,V00T,5,,B
C05G,V01A,16.6,3,
C05G,V01B,15.1,2.5,
C05G,V01C,31.1,4.2,
C05G,V01D,16.6,3.3,
C05G,V01E,20.6,3.5,
C05G,V01M,7.9,0.1,
C05G,V02A,11.4,2.5,
C05G,V02B,13.6,3,
C05G,V02C,30.5,3.8,
C05G,V02D,17.3,2.6,
C05G,V02E,27.3,4,
C05G,V02M,8.2,0.2,
C05G,V03A,14.7,2.6,
C05G,V03B,22.6,3.5,
C05G,V03C,34.8,4.3,
C05G,V03D,12.3,2.6,
C05G,V03E,15.6,3.4,
C05G,V03M,7.8,0.1,
C05G,V04A,5.8,1.9,*
C05G,V04B,22.2,3.3,
C05G,V04C,48.4,4.4,
C05G,V04D,23.6,4.6,
C05G,V05A,17.7,4,
C05G,V05B,35.4,3.9,
C05G,V05C,29.1,4.2,
C05G,V05D,17.7,3.3,
C05G,V06A,2,1.3,**
C05G,V06B,3.6,1.5,*
C05G,V06C,14.6,2.9,
C05G,V06D,36.9,3.7,
